season,player,sign_team,position,sign_age,sign_date,level,sign_status,structure,tracker_confirmed,notes
2022-23,Nikita Soshnikov,NYI,RW,28,2022-09-21,STD,UFA No QO,1-Way,no,ADDED by widened window; previously dropped as early-camp; verify; CONFIRMED NOT PTO - straight 1yr one-way signing announced by agent Sep 21
2022-23,Scott Harrington,SJS,D,29,2022-09-30,STD,UFA,2-Way,yes,NHL.com 2022 tryout list: PTO SJS
2022-23,Calvin de Haan,CAR,D,31,2022-10-01,STD,UFA,1-Way,yes,"AUDIT Waddell CAR at the time - correct; NHL.com 2022 tryout list: PTO CAR, signed 1yr Oct 1"
2022-23,Nathan Beaulieu,ANA,D,29,2022-10-01,STD,UFA,1-Way,yes,PHR 2022 tracker: PTO ANA
2022-23,Daniel Sprong,SEA,LW,25,2022-10-03,STD,UFA No QO,2-Way,yes,THN 2022 coverage: PTO SEA
2022-23,Jimmy Vesey,NYR,LW,29,2022-10-09,STD,UFA,1-Way,yes,repeat see 2021-22 NJD; PHR 2022 tracker: PTO NYR
2022-23,Pierre-Cedric Labrie,TBL,LW,36,2022-10-09,STD,UFA,2-Way,unclear,UNCONFIRMED; not on any 2022 tryout list; fails roster test regardless
2022-23,Zach Aston-Reese,TOR,C,28,2022-10-09,STD,UFA,1-Way,yes,NHL.com 2022 tryout list: PTO TOR
2022-23,Derick Brassard,OTT,C,35,2022-10-10,STD,UFA,1-Way,yes,"UNCONFIRMED; CONFIRMED PTO OTT; awarded 1yr after camp; NHL.com 2022 list + coverage: PTO OTT, awarded 1yr after camp"
2022-23,Anton Stralman,BOS,D,36,2022-10-11,STD,UFA,1-Way,yes,UNCONFIRMED; CONFIRMED PTO BOS Sep 23; signed 1yr $1M Oct 12; PTO BOS Sep 23; signed 1yr $1M announced Oct 12
2022-23,Derek Stepan,CAR,C,32,2022-10-11,STD,UFA,1-Way,yes,AUDIT Waddell CAR at the time - correct; PHR 2022 tracker: PTO CAR
2022-23,Michael Stone,CGY,D,32,2022-10-11,STD,UFA,2-Way,yes,PHR 2022 tracker: PTO CGY
2023-24,Colin White,PIT,C,26,2023-10-07,STD,UFA No QO,2-Way,yes,2023 tryout lists: PTO PIT
2023-24,Maxwell Willman,NJD,C,28,2023-10-07,STD,UFA,2-Way,yes,2023 tryout lists: PTO NJD
2023-24,Austin Watson,TBL,LW,31,2023-10-09,STD,UFA,1-Way,yes,2023 tryout lists: PTO TBL
2023-24,Noah Gregor,TOR,LW,25,2023-10-10,STD,UFA No QO,1-Way,yes,AUDIT Treliving moved CGY to TOR May 2023 - TOR correct; 2023 tryout lists: PTO TOR
2024-25,Kevin Lankinen,VAN,G,29,2024-09-21,STD,UFA,1-Way,no,ADDED by widened window; verify tryout status; CONFIRMED NOT PTO - NHL.com bio records straight FA signing VAN Sep 21
2024-25,Eetu Makiniemi,PHI,G,25,2024-09-24,STD,UFA G6,2-Way,yes,"ADDED by widened window; CONFIRMED PTO from Aug 29, signed Sep 24 (PHR tracker); FALSE NEGATIVE of the old window; PHR 2024 tracker: PTO PHI from Aug 29, signed Sep 24"
2024-25,Tyson Barrie,CGY,D,33,2024-10-03,STD,UFA,1-Way,yes,"CONFIRMED PTO CGY (Daily Faceoff, PHR); Daily Faceoff + PHR 2024: PTO CGY"
2024-25,Tanner Pearson,VGK,LW,32,2024-10-04,STD,UFA,1-Way,yes,"CONFIRMED PTO VGK; PHR signed Oct 4; PHR 2024: PTO VGK, signed Oct 4"
2024-25,Kevin Labanc,CBJ,RW,28,2024-10-05,STD,UFA,1-Way,yes,AUDIT Waddell moved CAR to CBJ May 2024 - CBJ correct; CONFIRMED PTO CBJ (Daily Faceoff); Daily Faceoff 2024: PTO CBJ
2024-25,Kailer Yamamoto,UTA,RW,26,2024-10-06,STD,UFA No QO,2-Way,yes,CONFIRMED PTO UTA (Daily Faceoff); Daily Faceoff 2024: PTO UTA
2024-25,Austin Watson,DET,LW,32,2024-10-07,STD,UFA,2-Way,yes,"repeat see 2023-24 TBL; CONFIRMED PTO DET; PHR signed Oct 7; PHR 2024: PTO DET, signed Oct 7"
2024-25,Cameron Wright,EDM,RW,26,2024-10-07,STD,UFA No QO,2-Way,no,GM CORRECTED Stan Bowman moved CHI to EDM Jul 2024; not on any 2024 tryout list; also fails roster test
2024-25,Jakub Vrana,WSH,LW,28,2024-10-07,STD,UFA,1-Way,yes,"CONFIRMED PTO WSH; PHR signed Oct 8; PHR 2024: PTO WSH, signed Oct 8"
2024-25,Max Pacioretty,TOR,LW,35,2024-10-07,STD,UFA,1-Way,yes,AUDIT Treliving TOR - correct; CONFIRMED PTO TOR Sep 11; CBC: PTO TOR Sep 11
2024-25,Steven Lorentz,TOR,C,28,2024-10-07,STD,UFA,1-Way,yes,"AUDIT Treliving TOR - correct; CONFIRMED PTO TOR; PHR signed Oct 7; PHR 2024: PTO TOR, signed Oct 7"
2024-25,Travis Dermott,EDM,D,27,2024-10-08,STD,UFA,2-Way,yes,GM CORRECTED Stan Bowman moved CHI to EDM Jul 2024; played 10 GP EDM; CONFIRMED PTO (Daily Faceoff); Daily Faceoff 2024: PTO EDM
2024-25,Gustav Lindstrom,MTL,D,25,2024-10-09,STD,UFA No QO,2-Way,no,not on any 2024 tryout list; also fails roster test
